date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:05	5163/5163	---M-Z	200	added ('OK')	text/html	etag:%22142b-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node5.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node5.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:06	2619/2619	---M-Z	200	added ('OK')	text/html	etag:%22a3b-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node6.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node6.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:07	8050/8050	---M-Z	200	added ('OK')	text/html	etag:%221f72-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node7.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node7.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:08	12883/12883	---M-Z	200	added ('OK')	text/html	etag:%223253-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node8.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node8.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:09	3897/3897	---M-Z	200	added ('OK')	text/html	etag:%22f39-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node9.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node9.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:10	18550/18550	---M-Z	200	added ('OK')	text/html	etag:%224876-464d55bdf11c0-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node10.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node10.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:11	2882/2882	---M-Z	200	added ('OK')	text/html	etag:%22b42-464d55bdf11c0-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node11.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node11.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:12	5688/5688	---M-Z	200	added ('OK')	text/html	etag:%221638-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node12.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node12.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:13	9708/9708	---M-Z	200	added ('OK')	text/html	etag:%2225ec-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node13.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node13.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:14	2410/2410	---M-Z	200	added ('OK')	text/html	etag:%2296a-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node14.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node14.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:15	5427/5427	---M-Z	200	added ('OK')	text/html	etag:%221533-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node15.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node15.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
